,Species,Weight,Length,Diagonal,Height,Width
107,a,300.0,28.7,30.1,7.5852,4.6354
108,a,320.0,30.0,31.6,7.6156,4.7716
109,a,514.0,32.8,34.0,10.03,6.018
110,a,556.0,34.5,36.5,10.2565,6.3875
111,a,840.0,35.0,37.3,11.4884,7.7957
112,a,685.0,36.5,39.0,10.881,6.864
113,a,700.0,36.0,38.3,10.6091,6.7408
114,a,700.0,37.0,39.4,10.835,6.2646
115,a,690.0,37.0,39.3,10.5717,6.3666
116,a,900.0,39.0,41.4,11.1366,7.4934
117,a,650.0,39.0,41.4,11.1366,6.003
118,a,820.0,39.0,41.3,12.4313,7.3514
119,a,850.0,40.0,42.3,11.9286,7.1064
120,a,900.0,40.0,42.5,11.73,7.225
121,a,1015.0,40.0,42.4,12.3808,7.4624
122,a,820.0,40.0,42.5,11.135,6.63
123,a,1100.0,42.0,44.6,12.8002,6.8684
124,a,1000.0,43.0,45.2,11.9328,7.2772
125,a,1100.0,43.0,45.5,12.5125,7.4165
126,a,1000.0,43.5,46.0,12.604,8.142
127,a,1000.0,44.0,46.6,12.4888,7.5958
128,a,200.0,32.3,34.8,5.568,3.3756
129,a,300.0,34.0,37.8,5.7078,4.158
130,a,300.0,35.0,38.8,5.9364,4.3844
131,a,300.0,37.3,39.8,6.2884,4.0198
132,a,430.0,38.0,40.5,7.29,4.5765
133,a,345.0,38.5,41.0,6.396,3.977
134,a,456.0,42.5,45.5,7.28,4.3225
135,a,510.0,42.5,45.5,6.825,4.459
136,a,540.0,43.0,45.8,7.786,5.1296
137,a,500.0,45.0,48.0,6.96,4.896
138,a,567.0,46.0,48.7,7.792,4.87
139,a,770.0,48.0,51.2,7.68,5.376
140,a,950.0,51.7,55.1,8.9262,6.1712
141,a,1250.0,56.0,59.7,10.6863,6.9849
142,a,1600.0,60.0,64.0,9.6,6.144
143,a,1550.0,60.0,64.0,9.6,6.144
144,a,1650.0,63.4,68.0,10.812,7.48
145,a,6.7,9.8,10.8,1.7388,1.0476
146,a,7.5,10.5,11.6,1.972,1.16
147,a,7.0,10.6,11.6,1.7284,1.1484
148,a,9.7,11.0,12.0,2.196,1.38
149,a,9.8,11.2,12.4,2.0832,1.2772
150,a,8.7,11.3,12.6,1.9782,1.2852
151,a,10.0,11.8,13.1,2.2139,1.2838
152,a,9.9,11.8,13.1,2.2139,1.1659
153,a,9.8,12.0,13.2,2.2044,1.1484
154,a,12.2,12.2,13.4,2.0904,1.3936
155,a,13.4,12.4,13.5,2.43,1.269
156,a,12.2,13.0,13.8,2.277,1.2558
157,a,19.7,14.3,15.2,2.8728,2.0672
158,a,19.9,15.0,16.2,2.9322,1.8792
